id;name;address;phone_number
1;Танзания признана) Avon;Bedfordshire communities внутренний;payment поглотитель
2;1080-пиксельный;копировать;Большой пл. виртуальный
3;передатчик paradigm перезагрузить;Плащ Греция;вычислить винчестер передача
4;multimedia standardization передать;Ножницы;impactful local
5;Компьютер основной пр.;белый Лоснящийся synergize;EXE Кулон
6;Международный;deposit сохранить область;соединение для services
7;нейронный Центральный БИОС;площадь беспроводной;Islands Большой Куртка
8;Интеллектуальный;цифровой;синтезировать
9;capability оптический коммуникационный;Невероятный Дом action-items;Auto навигировать
10;серебряный логистический пиксель;EXE Fiji маркетинговый;Резиновый белый импортировать
